ID,Route,Direction,Milepost_S,Milepost_E,Distance,Slope,Radius,Curve_Length,Num_Lanes,Delta_Slope,Delta_Radius,Delta_Lanes,AADT,Max_Speed,Min_Speed,Mean_Speed,Consequence,,
10184,영동선,1,86.52949,86.66,0.13051,2.1986,0,1130,4,-1.6982,0,0,55453,100.00 ,108.10 ,108.10 ,0,,
10185,영동선,1,86.66,87.00249,0.34249,2.1986,700,364,4,0,-700,0,55453,100.00 ,107.70 ,107.80 ,0,,
10186,영동선,1,87.00249,87.024,0.02151,-1.2229,700,364,4,3.4215,0,0,55453,100.00 ,100.00 ,100.00 ,0,,
10187,영동선,1,87.024,87.37785,0.35385,-1.2229,0,551,4,0,700,0,55453,100.00 ,108.10 ,108.15 ,0,,
10188,영동선,1,87.37785,87.575,0.19715,2.0722,0,551,4,-3.2951,0,0,55453,100.00 ,108.20 ,108.20 ,0,,
10189,영동선,1,87.575,88.41,0.835,2.0722,1400,1690,4,0,-1400,0,31089,100.00 ,108.30 ,108.43 ,0,,
10190,영동선,1,88.41,88.72,0.31,2.0722,1400,1690,2,0,0,2,31089,100.00 ,108.10 ,108.10 ,0,,
10191,영동선,1,88.72,89.04,0.32,2.989,1400,1690,2,-0.9168,0,0,31089,100.00 ,107.90 ,107.95 ,1,,
10192,영동선,1,89.04,89.24,0.2,1.46,1400,1690,2,1.529,0,0,31089,100.00 ,108.30 ,108.30 ,0,,
10193,영동선,1,89.24,89.265,0.025,1.527,1400,1690,2,-0.067,0,0,31089,100.00 ,100.00 ,100.00 ,0,,
10194,영동선,1,89.265,89.89,0.625,1.527,0,974,2,0,1400,0,31089,100.00 ,108.00 ,108.20 ,0,,
10195,영동선,1,89.89,90.239,0.349,4.527,0,974,2,-3,0,0,31089,100.00 ,108.00 ,108.05 ,0,,
10196,영동선,1,90.239,90.37,0.131,4.527,3000,327,2,0,-3000,0,31089,100.00 ,100.00 ,100.00 ,0,,
10197,영동선,1,90.37,90.566,0.196,-3,3000,327,2,7.527,0,0,31089,100.00 ,108.10 ,108.10 ,0,,
